portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
53750,Batemans Bay,53290,AUSTRALIA,AU,Australia,"35°42'00""S","150°10'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,75251,X,V,CN,G,U,Y,U,Y,Y,16,9,3,,1,,,,N,U,U,U,U,,,U,U,U,U,U,U,Y,U,U,U,Y,Y,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,D,U,U,U,U,UNK,U,U,U,U,U,U,U,{BEF88CD3-E8FB-415B-A5F2-0E26CCCE047D},U,U,U,U,U,U,U,U,U,U,U,U,AU QBW,"coa05b, gen05b",,,,Tasman Sea; South Pacific Ocean,,,,,,,
54943,Beauty Point,54700,TASMANIA,AU,Australia,"41°09'00""S","146°49'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,,X,S,CN,E,U,U,U,Y,N,22,8,9,,2,,,,Y,Y,Y,N,Y,,,Y,U,Y,U,U,U,U,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,U,U,Y,U,U,U,Y,U,Y,Y,N,Y,Y,Y,Y,Y,Y,U,U,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{DA98888F-D7D8-49E0-8F48-12C1E966110C},U,U,U,U,U,U,U,U,U,U,U,U,AU BYP,"a0554970, coa05b, gen05b, h0554940",,,,Bass Strait; South Pacific Ocean,,,,,,,
54630,Broome,53290,AUSTRALIA,AU,Australia,"17°58'00""S","122°14'00""E",Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,,X,S,CN,E,Y,N,N,Y,U,11,14,8,9,9,280,,10,Y,Y,Y,N,Y,,,U,N,Y,Y,Y,Y,U,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,Y,U,Y,U,U,Y,Y,Y,Y,U,N,N,U,U,Y,U,Y,N,N,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{8A1E1A22-28CC-4AEB-A159-D1992B925316},U,U,U,U,U,U,U,U,U,U,U,U,AU BME,"a0454630, coa04i, gen04b",,,,Indian Ocean,,,,,,,
53810,Eden,53290,AUSTRALIA,AU,Australia,"37°04'00""S","149°55'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,,X,V,CB,G,U,Y,U,Y,U,9,9,6,,1,,,,U,Y,Y,N,Y,,,Y,U,Y,U,U,U,U,Y,Y,Y,U,Y,U,Y,U,U,Y,N,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,U,Y,U,Y,U,U,D,U,U,U,U,UNK,U,U,Y,U,U,U,U,{DC7F565C-7621-4BAA-AFAE-0B7F865C50A8},U,U,U,U,U,U,U,U,U,U,U,U,AU QDN,"a0553810, coa05b",,,,Tasman Sea; South Pacific Ocean,,,,,,,
54520,Fremantle,53290,AUSTRALIA,AU,Australia,"32°03'00""S","115°45'00""E",Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,74582,X,L,CB,G,N,N,N,Y,Y,13,14,13,9,1,350,50,15,Y,Y,Y,Y,Y,,,Y,U,Y,Y,Y,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,U,U,Cargo,U,U,Y,U,U,U,U,{7C1F9E6F-FF02-4161-83ED-0AB7224F854A},U,U,U,U,U,U,U,U,U,U,U,U,AU FRE,"a0454520, coa04k, gen04a, h0454520",,,,Indian Ocean,,,,,,,
54540,Geraldton,53290,AUSTRALIA,AU,Australia,"28°47'00""S","114°36'00""E",Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,74345,X,V,CB,G,Y,Y,N,Y,Y,14,11,13,9,1,293,43,13,Y,Y,Y,N,Y,,,Y,Y,Y,Y,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,U,Y,U,U,U,U,U,Y,Y,Y,N,N,Y,U,Y,U,Y,N,N,C,U,S,Y,U,Cargo,U,U,Y,U,U,U,U,{905E2C8C-F0ED-4BF1-8DE8-C08377A49319},U,U,U,U,U,U,U,U,U,U,U,U,AU GET,"a0454540, coa04k, gen04a",,,,Indian Ocean,,,,,,,
54760,Hobart,54700,TASMANIA,AU,Australia,"42°53'00""S","147°20'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,75193,X,M,RN,E,N,N,N,N,Y,13,19,11,14,1,348,41,,Y,Y,Y,U,Y,,,Y,Y,Y,Y,U,Y,Y,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,Y,Y,Y,U,U,U,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,U,C,U,L,Y,U,Cargo,U,U,Y,U,U,U,U,{D7EEB5CA-ED6B-404E-ACC6-2053A751A4FA},U,U,U,U,U,U,U,U,U,U,U,U,AU HBA,"a0554760, coa05b, gen05b, h0554760",,,,South Pacific Ocean,,,,,,,
53710,Jervis Bay,53290,AUSTRALIA,AU,Australia,"35°07'00""S","150°48'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,75251,X,V,CN,G,U,U,U,U,U,23,13,2,,1,,,,U,U,U,U,U,,,U,U,U,U,U,Y,Y,U,U,Y,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,U,U,U,U,D,U,U,U,U,UNK,U,U,U,U,U,U,U,{27BB4A0A-3994-49AC-A5B7-E7CE7217C37E},U,U,U,U,U,U,U,U,U,U,U,U,AU JEB,"a0553710, coa05b, gen05b",,,,Tasman Sea; South Pacific Ocean,,,,,,,
54200,Kingscote,53290,AUSTRALIA,AU,Australia,"35°38'00""S","137°38'00""E",Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,75130,X,V,CB,F,U,U,U,U,Y,3,5,3,,1,,,,N,U,U,U,N,,,U,N,N,U,U,Y,U,Y,U,Y,U,Y,U,U,U,U,Y,Y,U,N,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,U,Y,U,U,C,U,U,U,U,UNK,U,U,U,U,U,U,U,{9C797820-0FB6-4F01-AD0B-9A8D94FD1F63},U,U,U,U,U,U,U,U,U,U,U,U,AU KGC,"coa05a, gen05c",,,,Indian Ocean,,,,,,,
54970,Launceston,54700,TASMANIA,AU,Australia,"41°27'00""S","147°07'00""E",Sailing Directions Pub. 127 (Enroute) - East Coast of Australia and New Zealand,,X,S,RN,E,Y,N,N,Y,Y,2,8,8,11,2,,,,U,Y,Y,N,Y,,,Y,U,Y,Y,U,U,U,Y,U,Y,Y,Y,U,U,U,U,Y,Y,U,N,Y,Y,U,U,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,U,U,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{184A22FB-E82F-4562-ABDE-1B4FE3646C92},U,U,U,U,U,U,U,U,U,U,U,U,AU LST,gen05b,,,,Bass Strait; South Pacific Ocean,,,,,,,
